Latitude,,Longitude,
X,Y,X,Y
13.536593778023047,28.365874696149973,13.536593778023047,-80.35971295811481
40.56563426915915,28.365874696149973,40.56563426915915,-80.15988647832398
67.59467476029525,28.365874696149973,67.59467476029525,-80.03999059044924
94.62371525143135,28.365874696149973,94.62371525143135,-80.03999059044924
121.65275574256745,28.365874696149973,121.65275574256745,-79.8001988147002
148.68179623370355,28.365874696149973,148.68179623370355,-79.73025954677325
175.71083672483962,28.365874696149973,175.71083672483962,-79.39055453112866
202.73987721597575,28.18603086433808,202.73987721597575,-78.89098833165122
229.76891770711183,28.056143652473963,229.76891770711183,-77.96179520062321
256.79795819824795,27.826343200714348,256.79795819824795,-76.68290572996113
283.826998689384,27.746412608797982,283.826998689384,-75.54389479515254
310.85603918052016,27.746412608797982,310.85603918052016,-74.4148751843336
337.88507967165623,27.746412608797982,337.88507967165623,-73.2858555735146
364.91412016279236,27.746412608797982,364.91412016279236,-72.1568359626956
391.9431606539285,27.746412608797982,391.9431606539285,-70.99584411511012
418.9722011450645,27.746412608797982,418.9722011450645,-69.59905702137127
446.00124163620063,27.746412608797982,446.00124163620063,-67.98046253506448
473.03028212733676,27.686464664860665,473.03028212733676,-66.26195480886213
500.0593226184729,27.436681565121972,500.0593226184729,-64.48349913872238
527.088363109609,27.326777001236934,527.088363109609,-62.5651649327292
554.1174036007451,26.967089337613203,554.1174036007451,-60.646830726735914
581.1464440918812,26.60740167398947,581.1464440918812,-58.738487844732276
608.1754845830174,26.227731362386635,608.1754845830174,-56.840136286718064
635.2045250741533,25.768130458867404,635.2045250741533,-54.93179340471437
662.2335655652894,25.458399415191423,662.2335655652894,-53.033441846700214
689.2626060564255,25.038763807630374,689.2626060564255,-51.05515969676952
716.2916465475616,24.69905879198572,716.2916465475616,-49.26671270264046
743.3206870386978,24.309397156393345,743.3206870386978,-47.34837849664717
770.3497275298339,23.899752872821892,770.3497275298339,-45.50997488257025
797.37876802097,23.580030505156344,797.37876802097,-43.701545240461996
824.4078085121059,23.160394897595324,824.4078085121059,-41.8931155983538
851.4368490032421,22.810698557961132,851.4368490032421,-40.05471198427688
878.4658894943782,22.391062950400084,878.4658894943782,-38.22629969418955
905.4949299855143,21.831548806985353,905.4949299855143,-36.50779196798726
932.5239704766504,21.252052015591573,932.5239704766504,-34.769301593805835
959.5530109677866,20.672555224197765,959.5530109677866,-33.07077651558262
986.1460991929366,20.034109621265628,986.1460991929366,-31.463838573930275
